problem_id,skill
372547,Equivalent Fractions
148905,Finding Slope from Ordered Pairs
217707,Range
419917,Addition and Subtraction Fractions
505768,Addition and Subtraction Integers
61601,Unit Rate
125695,Substitution
149266,Simplifying Expressions positive exponents
254255,Interior Angles Triangle
126296,Surface Area Cylinder
342015,Subtraction Whole Numbers
149059,Simplifying Expressions positive exponents
659946,Unit Rate
345665,Area Circle
123925,Unit Conversion Within a System
334852,Conversion of Fraction Decimals Percents
426970,Multiplication and Division Positive Decimals
170073,Area Triangle
506111,Writine Expression from Diagrams
171994,Circumference 
400657,Polynomial Factors
419780,Addition and Subtraction Fractions
419575,Addition and Subtraction Fractions
418498,Addition and Subtraction Fractions
638603,Exponents
59945,Finding Percents
442950,Ordering Positive Decimals
408745,Equation Solving More Than Two Steps
88603,Multiplication and Division Positive Decimals
75478,Circumference 
110185,Range
660374,Multiplication and Division Positive Decimals
675081,Addition and Subtraction Integers
318045,Unit Rate
140152,Pythagorean Theorem
65777,Ordering Fractions
93148,Venn Diagram
451636,Proportion
514905,Combining Like Terms
403816,Order of Operations All
417510,Addition and Subtraction Fractions
126612,Surface Area Rectangular Prism
321276,Equivalent Fractions
91524,Median
191099,Probability of a Single Event
127795,Volume Pyramid
93229,Venn Diagram
678356,Area Circle
94901,Percent Of
221988,Percent Of
88923,Complementary and Supplementary Angles
658607,Multiplication Fractions
152950,Simplifying Expressions positive exponents
417579,Addition and Subtraction Fractions
94736,Equation Solving Two or Fewer Steps
161813,Distributive Property
75241,D.4.8-understanding-concept-of-probabilities
523059,Multiplication and Division Integers
399506,Percent Of
642729,"Order of Operations +,-,/,* () positive reals"
123619,Unit Conversion Within a System
555520,Volume Rectangular Prism
126835,Surface Area Sphere
127421,Surface Area Sphere
186598,Addition and Subtraction Fractions
121716,Divisibility Rules
89489,Circumference 
119373,Probability of a Single Event
658314,Addition and Subtraction Fractions
172548,Area Triangle
434577,Equation Solving More Than Two Steps
257671,Properties and Classification Rectangular Prisms
255001,Addition and Subtraction Positive Decimals
86619,Proportion
530552,Conversion of Fraction Decimals Percents
173884,Equation Solving More Than Two Steps
66339,Ordering Positive Decimals
77357,Volume Sphere
129474,Volume Pyramid
160478,Polynomial Factors
403296,Multiplication and Division Positive Decimals
58775,Exponents
186155,Subtraction Whole Numbers
107680,Equation Solving Two or Fewer Steps
542944,Reflection
130111,Volume Cone
340656,Median
562196,Conversion of Fraction Decimals Percents
620384,Area Trapezoid
702557,Simplifying Expressions positive exponents
599940,Multiplication Fractions
170891,Area Irregular Figure
397679,Equivalent Fractions
137438,Interior Angles Figures with More than 3 Sides
672320,Volume Prism
77446,Area Irregular Figure
227396,Composition of Function Adding
419395,Addition and Subtraction Fractions
85031,Order of Operations All
514617,Substitution
665248,Addition and Subtraction Integers
507669,Prime Number
370572,Prime Factor
615453,Graph Shape
107821,Equation Solving Two or Fewer Steps
702602,Simplifying Expressions positive exponents
137536,Interior Angles Figures with More than 3 Sides
89294,Area Parallelogram
338863,Absolute Value
58667,Proportion
658614,Multiplication Fractions
173313,Area Rectangle
398176,Conversion of Fraction Decimals Percents
77325,Volume Sphere
89699,Square Root
148832,Finding Slope From Situation
12311,Multiplication and Division Integers
217571,Range
400794,Polynomial Factors
340698,Median
170483,Quadratic Formula to Solve Quadratic Equation
91519,Mean
561481,Addition and Subtraction Integers
66408,Ordering Positive Decimals
129475,Volume Pyramid
124149,Unit Conversion Within a System
556441,Multiplication and Division Integers
66218,Ordering Fractions
128101,Volume Prism
405074,Parallel and Perpendicular Lines
372317,Equivalent Fractions
110064,Range
81141,Pythagorean Theorem
753273,Subtraction Whole Numbers
668324,Point Plotting
257386,Median
77437,Area Irregular Figure
107799,Equation Solving Two or Fewer Steps
123255,Unit Conversion Within a System
58696,Proportion
87162,Unit Rate
89619,Square Root
51588,Exponents
148781,Finding Slope from Ordered Pairs
685501,Picking Expressions From Choices
685490,Solving Inequalities
607423,Surface Area of Prism
73461,Probability of a Single Event
186070,Unit Rate
57584,Venn Diagram
702640,Simplifying Expressions positive exponents
90567,Pattern Finding 
366060,Stem and Leaf Plot
108146,Equation Solving More Than Two Steps
264893,Properties and Classification Quadrilaterals
406397,Solving Systems of Linear Equations
418312,Addition and Subtraction Fractions
124015,Unit Conversion Within a System
79115,Pythagorean Theorem
126349,Surface Area Cylinder
257364,Median
525096,Equation Solving Two or Fewer Steps
148533,Simplifying Expressions positive exponents
122677,Unit Conversion Within a System
93731,Probability of Two Distinct Events
255835,Solving for a variable
58717,Proportion
418542,Addition and Subtraction Fractions
515283,Equation Solving Two or Fewer Steps
647279,Unit Rate
257632,Properties and Classification Rectangular Prisms
72597,Calculations with Similar Figures
609294,Equation Solving Two or Fewer Steps
409883,Addition and Subtraction Fractions
397701,Equivalent Fractions
66302,Ordering Fractions
52903,Ordering Positive Decimals
257371,Median
87986,Prime Number
442979,Ordering Positive Decimals
265736,Properties and Classification Polygons with 5 or more sides
555506,Volume Rectangular Prism
209637,Counting Methods
530488,Addition and Subtraction Fractions
504895,Solving for a variable
126228,Volume Sphere
81135,Pythagorean Theorem
349186,Pattern Finding 
127729,Volume Rectangular Prism
257172,Median
36355,Histogram as Table or Graph
72675,Calculations with Similar Figures
600491,Table
219403,Multiplying non Monomial Polynomials
89026,Complementary and Supplementary Angles
55177,Solving for a variable
51183,"Order of Operations +,-,/,* () positive reals"
94079,Pattern Finding 
658496,Multiplication Fractions
341722,Multiplication Whole Numbers
372309,Equivalent Fractions
522034,Addition and Subtraction Integers
91089,Median
408640,Equation Solving More Than Two Steps
89859,Addition and Subtraction Integers
606665,Multiplication and Division Positive Decimals
123607,Unit Conversion Within a System
161491,Polynomial Factors
673298,Area Irregular Figure
140103,"Angles - Obtuse, Acute, and Right"
137210,Finding y-intercept from Linear Equation
160479,Polynomial Factors
536163,Finding Slope from Ordered Pairs
126801,Surface Area Sphere
674902,Percent Of
602029,Equation Solving Two or Fewer Steps
223456,Composition of Function Adding
550551,Area Rectangle
305035,Addition and Subtraction Positive Decimals
402053,Multiplication Fractions
130197,Volume Cone
171181,Area Parallelogram
171791,Perimeter of a Polygon
58680,Proportion
125424,Unit Conversion Standard to Metric
110161,Range
342645,Multiplication Whole Numbers
609282,Equation Solving Two or Fewer Steps
49715,Write Linear Equation from Situation
125379,Unit Conversion Standard to Metric
403752,Exponents
86356,Addition and Subtraction Fractions
129526,Finding Slope From Equation
123897,Unit Conversion Within a System
40329,Sampling Techniques
402252,Division Fractions
140281,Pythagorean Theorem
149083,Simplifying Expressions positive exponents
668660,Finding Percents
525752,Scientific Notation
124598,Unit Conversion Within a System
89715,Addition and Subtraction Integers
264823,Properties and Classification Quadrilaterals
335277,Percent Of
171448,Area Trapezoid
561135,Line Plot
600036,Multiplication Fractions
703202,Simplifying Expressions positive exponents
123191,Unit Conversion Within a System
408683,Equation Solving More Than Two Steps
553401,Multiplication and Division Positive Decimals
634021,Simplifying Expressions positive exponents
304888,Addition and Subtraction Positive Decimals
502743,Estimation
123017,Unit Conversion Within a System
75637,Area Circle
683471,Division Whole Numbers
170460,Quadratic Formula to Solve Quadratic Equation
189441,Multiplication and Division Integers
170414,Quadratic Formula to Solve Quadratic Equation
53955,Addition and Subtraction Integers
149277,Simplifying Expressions positive exponents
186611,Addition and Subtraction Fractions
341270,Pattern Finding 
513288,Box and Whisker
335490,Multiplication and Division Positive Decimals
93291,Scatter Plot
335443,Multiplication and Division Positive Decimals
163355,Equation Solving More Than Two Steps
556357,Addition and Subtraction Integers
604472,Rounding
599689,Addition and Subtraction Fractions
15529,Solving System of Equation
247835,Mean
148922,Finding Slope from Ordered Pairs
341812,Multiplication Whole Numbers
672275,Volume Cone
124174,Unit Conversion Within a System
702463,Simplifying Expressions positive exponents
674934,Percent Of
498736,Complementary and Supplementary Angles
585210,Conversion of Fraction Decimals Percents
171268,Area Parallelogram
89627,Square Root
417940,Addition and Subtraction Fractions
599688,Addition and Subtraction Fractions
89145,Interior Angles Triangle
548635,Addition and Subtraction Positive Decimals
190326,Unit Rate
126370,Surface Area Cylinder
116,Square Root
405009,Write Linear Equation from Slope and y-intercept
335529,Finding Percents
401977,Division Fractions
87031,Division Fractions
724180,Probability of Two Distinct Events
91114,Median
418233,Addition and Subtraction Fractions
85917,Conversion of Fraction Decimals Percents
29010,Probability of Two Distinct Events
248598,Combining Like Terms
121943,Greatest Common Factor
552417,Multiplication and Division Positive Decimals
662464,Conversion of Fraction Decimals Percents
702751,Simplifying Expressions positive exponents
604608,Rounding
670246,Complementary and Supplementary Angles
661441,Angles on Parallel Lines Cut by a Transversal
170948,Area Irregular Figure
559856,Multiplication Whole Numbers
85265,Absolute Value
170962,Area Irregular Figure
411425,Mean
409714,Addition and Subtraction Fractions
402293,Multiplication Fractions
123149,Unit Conversion Within a System
758538,Combining Like Terms
523301,Ordering Positive Decimals
402093,Multiplication Fractions
408223,Addition and Subtraction Positive Decimals
503803,Pattern Finding 
341267,Pattern Finding 
305070,Addition and Subtraction Positive Decimals
87093,Division Fractions
172887,Pattern Finding 
93709,Counting Methods
672296,Volume Cylinder
408713,Equation Solving More Than Two Steps
125241,Unit Conversion Standard to Metric
295662,Probability of a Single Event
123437,Unit Conversion Within a System
511030,Scientific Notation
173144,Circumference 
400820,Greatest Common Factor
223507,Composition of Function Adding
758541,Combining Like Terms
555503,Volume Rectangular Prism
93052,Histogram as Table or Graph
342663,Prime Number
121739,Divisibility Rules
585598,Equation Solving Two or Fewer Steps
127836,Volume Pyramid
227408,Composition of Function Adding
335347,Addition and Subtraction Positive Decimals
114087,Point Plotting
127377,Surface Area Sphere
121903,Divisibility Rules
417730,Addition and Subtraction Fractions
504371,"Order of Operations +,-,/,* () positive reals"
139454,Probability of Two Distinct Events
97536,Equation Solving Two or Fewer Steps
503610,Multiplication Fractions
437970,Percent Increase or Decrease
77415,Volume Sphere
